Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,SalePrice_log,TotalSF,TotalPorchSF,TotalBath,TotalKitchen,HouseAge,RemodAge,IsNew,IsRemodeled,OverallGrade,LivAreaRatio,SpaceEfficiency,Neighborhood_Grouped
184,50,RM,63.0,11426,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1362,1362,GasA,Ex,Y,SBrkr,1362,720,0,2082,0,0,2,1,3,1,Gd,6,Mod,0,None,Detchd,2003.0,Unf,2,484,TA,TA,N,280,238,0,0,0,0,None,None,None,0,6,2008,WD,Normal,200000,12.206077645517674,3444,238,2.5,1,5,5,0,0,35,0.18221599859968493,0.3014178190092771,OldTown
185,50,RL,92.0,7438,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,RRAn,Feedr,1Fam,1.5Fin,5,8,1908,1991,Gable,CompShg,AsbShng,Plywood,None,0.0,TA,TA,PConc,Fa,TA,No,Unf,0,Unf,0,504,504,GasA,Gd,Y,SBrkr,936,316,0,1252,0,0,1,0,3,1,TA,5,Typ,0,None,Attchd,1986.0,Unf,2,576,TA,TA,Y,104,0,0,0,0,0,None,MnPrv,None,0,6,2006,WD,Normal,127000,11.751950239425476,1756,0,1.0,1,98,15,0,1,40,0.16832481849959666,0.23608496907770907,Other
186,75,RM,90.0,22950,Pave,None,IR2,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,2.5Fin,10,9,1892,1993,Gable,WdShngl,Wd Sdng,Wd Sdng,None,0.0,Gd,Gd,BrkTil,TA,TA,Mn,Unf,0,Unf,0,1107,1107,GasA,Ex,Y,SBrkr,1518,1518,572,3608,0,0,2,1,4,1,Ex,12,Typ,2,TA,Detchd,1993.0,Unf,3,840,Ex,TA,Y,0,260,0,0,410,0,None,GdPrv,None,0,6,2006,WD,Normal,475000,13.07107218827772,4143,670,2.5,1,114,13,0,1,90,0.15721132897603485,0.18052287581699347,OldTown
187,80,RL,69.0,9947,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,SLvl,7,5,1990,1991,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,Av,GLQ,611,Unf,0,577,1188,GasA,Ex,Y,SBrkr,1217,0,0,1217,1,0,2,0,3,1,Gd,6,Typ,0,None,Attchd,1990.0,Unf,2,497,TA,TA,Y,168,27,0,0,0,0,None,GdPrv,None,0,6,2009,WD,Normal,173000,12.06105265381003,2405,27,3.0,1,19,18,0,1,35,0.12234844676786971,0.24178144164069568,Other
188,50,RL,60.0,10410,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,7,1916,1987,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,Fa,TA,No,Unf,0,Unf,0,660,660,GasA,Ex,Y,SBrkr,808,704,144,1656,0,0,2,1,3,1,TA,8,Min2,0,None,Detchd,1916.0,Unf,1,180,Fa,Fa,N,0,0,0,140,0,0,None,MnPrv,None,0,8,2009,WD,Normal,135000,11.813037464800539,2172,140,2.5,1,93,22,0,1,35,0.15907780979827088,0.20864553314121037,OldTown
189,90,RL,64.0,7018,Pave,None,Reg,Bnk,AllPub,Inside,Gtl,SawyerW,Feedr,Norm,Duplex,SFoyer,5,5,1979,1979,Gable,CompShg,Plywood,Plywood,Stone,275.0,TA,TA,CBlock,Gd,TA,Av,GLQ,1086,Unf,0,0,1086,GasA,TA,Y,SBrkr,1224,0,0,1224,2,0,0,2,2,2,TA,6,Typ,2,TA,Detchd,1979.0,Unf,2,528,TA,TA,Y,120,0,0,0,0,0,None,None,None,0,6,2009,WD,Alloca,153337,11.940399914116648,2310,0,3.0,2,30,30,0,0,25,0.1744086634368766,0.329153605015674,SawyerW
190,120,RL,41.0,4923,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2001,2002,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1153,Unf,0,440,1593,GasA,Ex,Y,SBrkr,1593,0,0,1593,1,0,1,1,0,1,Ex,5,Typ,1,Gd,Attchd,2001.0,Fin,2,682,TA,TA,Y,0,120,0,0,224,0,None,None,None,0,8,2008,WD,Normal,286000,12.563750586299374,3186,344,2.5,1,7,6,0,1,40,0.3235831809872029,0.6471663619744058,Other
191,70,RL,70.0,10570,Pave,None,Reg,Bnk,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,8,1932,1994,Hip,CompShg,BrkFace,BrkFace,None,0.0,Gd,TA,CBlock,Gd,Gd,No,Rec,297,Unf,0,556,853,GasA,TA,Y,SBrkr,1549,1178,0,2727,0,0,2,1,3,1,Gd,10,Maj1,2,TA,Detchd,1932.0,Unf,2,440,TA,TA,Y,0,74,0,0,0,0,None,None,None,0,12,2007,WD,Normal,315000,12.660331092405906,3580,74,2.5,1,75,13,0,1,64,0.25799432355723745,0.3386944181646168,Other
192,60,RL,69.0,7472,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,2Story,7,9,1972,2004,Gable,CompShg,HdBoard,HdBoard,BrkFace,138.0,TA,TA,CBlock,TA,TA,No,ALQ,626,Unf,0,99,725,GasA,Gd,Y,SBrkr,725,754,0,1479,1,0,1,1,4,1,Gd,7,Typ,0,None,Attchd,1972.0,Fin,2,484,TA,TA,Y,0,32,0,0,0,0,None,None,None,0,6,2007,WD,Normal,184000,12.122696471358964,2204,32,2.5,1,35,3,0,1,63,0.1979389721627409,0.2949678800856531,NAmes
193,20,RL,68.0,9017,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,560,Unf,0,871,1431,GasA,Ex,Y,SBrkr,1431,0,0,1431,1,0,2,0,3,1,Gd,6,Typ,0,None,Attchd,1999.0,Fin,2,666,TA,TA,Y,0,35,0,0,0,0,None,None,None,0,9,2009,WD,Normal,192000,12.165255859329688,2862,35,3.0,1,10,10,0,0,35,0.15870023289342353,0.31740046578684705,CollgCr
194,160,RM,24.0,2522,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Twnhs,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,Stone,50.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,970,970,GasA,Ex,Y,SBrkr,970,739,0,1709,0,0,2,0,3,1,Gd,7,Maj1,0,None,Detchd,2004.0,Unf,2,380,TA,TA,Y,0,40,0,0,0,0,None,None,None,0,5,2006,WD,Normal,130000,11.775297421715827,2679,40,2.0,1,2,2,0,0,35,0.6776367961934973,1.0622521808088818,Edwards
195,20,RL,60.0,7180,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,1972,1972,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,Av,ALQ,390,Unf,0,474,864,GasA,TA,Y,SBrkr,864,0,0,864,0,0,1,0,3,1,TA,5,Typ,0,None,Detchd,1989.0,Unf,1,352,TA,TA,Y,0,0,0,0,0,0,None,None,None,0,5,2008,WD,Normal,127000,11.751950239425476,1728,0,1.0,1,36,36,0,0,35,0.1203342618384401,0.2406685236768802,CollgCr
196,160,RL,24.0,2280,Pave,None,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,6,1976,1976,Gable,CompShg,Plywood,Brk Cmn,None,0.0,TA,TA,CBlock,Gd,TA,No,ALQ,566,Unf,0,289,855,GasA,TA,Y,SBrkr,855,601,0,1456,0,0,2,1,3,1,TA,7,Typ,1,TA,Attchd,1976.0,Unf,2,440,TA,TA,Y,87,0,0,0,0,0,None,None,None,0,7,2009,WD,Normal,148500,11.908346971208951,2311,0,2.5,1,33,33,0,0,36,0.6385964912280702,1.0135964912280702,Other
197,20,RL,79.0,9416,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2007,2007,Hip,CompShg,CemntBd,CmentBd,Stone,205.0,Ex,TA,PConc,Ex,TA,No,GLQ,1126,Unf,0,600,1726,GasA,Ex,Y,SBrkr,1726,0,0,1726,1,0,2,0,3,1,Ex,8,Typ,1,Gd,Attchd,2007.0,Fin,3,786,TA,TA,Y,171,138,0,0,266,0,None,None,None,0,9,2007,New,Partial,311872,12.650351332641707,3452,404,3.0,1,0,0,1,0,35,0.18330501274426508,0.36661002548853017,Somerst
198,75,RL,174.0,25419,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,1Fam,2Story,8,4,1918,1990,Gable,CompShg,Stucco,Stucco,None,0.0,Gd,Gd,PConc,TA,TA,No,GLQ,1036,LwQ,184,140,1360,GasA,Gd,Y,SBrkr,1360,1360,392,3112,1,1,2,0,4,1,Gd,8,Typ,1,Ex,Detchd,1918.0,Unf,2,795,TA,TA,Y,0,16,552,0,0,512,Ex,GdPrv,None,0,3,2006,WD,Abnorml,235000,12.367345048436391,4080,568,3.5,1,88,16,0,1,32,0.12242810496085606,0.16050985483299893,NAmes
199,75,RM,92.0,5520,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2.5Fin,6,6,1912,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,755,755,GasA,Ex,Y,SBrkr,929,929,371,2229,0,0,1,0,5,1,TA,8,Typ,0,None,None,1912.0,None,0,0,None,None,Y,0,198,30,0,0,0,None,MnPrv,None,0,7,2009,WD,Abnorml,104000,11.552155793461898,2613,228,1.0,1,97,59,0,1,36,0.40380434782608693,0.4733695652173913,OldTown
200,20,RL,76.0,9591,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2004,2005,Hip,CompShg,VinylSd,VinylSd,BrkFace,262.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1088,Unf,0,625,1713,GasA,Ex,Y,SBrkr,1713,0,0,1713,1,0,2,0,3,1,Ex,7,Typ,1,Gd,Attchd,2004.0,Fin,3,856,TA,TA,Y,0,26,0,0,170,0,None,None,None,0,1,2009,WD,Normal,274900,12.524166311833152,3426,196,3.0,1,5,4,0,1,40,0.17860494213324993,0.35720988426649986,NridgHt
201,20,RM,80.0,8546,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,4,5,2003,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1121,1121,GasA,Ex,Y,SBrkr,1121,0,0,1121,0,0,2,0,2,1,TA,5,Typ,0,None,Attchd,2003.0,RFn,2,440,TA,TA,Y,132,64,0,0,0,0,None,None,None,0,3,2010,WD,Normal,140000,11.849404844423074,2242,64,2.0,1,7,6,0,1,20,0.13117247835244558,0.26234495670489116,Edwards
202,20,RL,75.0,10125,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,6,6,1977,1977,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,641,LwQ,279,276,1196,GasA,TA,Y,SBrkr,1279,0,0,1279,0,1,2,0,3,1,TA,6,Typ,2,Fa,Detchd,1980.0,Unf,2,473,TA,TA,Y,238,83,0,0,0,0,None,MnPrv,None,0,2,2008,WD,Normal,171500,12.052344376474922,2475,83,2.5,1,31,31,0,0,36,0.12632098765432098,0.24444444444444444,Other
203,50,RL,50.0,7000,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,6,6,1924,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,BrkTil,Fa,TA,No,LwQ,617,Unf,0,0,617,GasA,Gd,Y,SBrkr,865,445,0,1310,0,0,2,0,2,1,TA,6,Min1,0,None,Attchd,1924.0,Unf,1,398,TA,TA,Y,0,0,126,0,0,0,None,None,None,0,5,2006,COD,Normal,112000,11.626263078808801,1927,126,2.0,1,82,56,0,1,36,0.18714285714285714,0.2752857142857143,OldTown
204,120,RM,69.0,4438,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,TwnhsE,1Story,6,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,205.0,Gd,TA,PConc,Gd,TA,Av,GLQ,662,Unf,0,186,848,GasA,Ex,Y,SBrkr,848,0,0,848,1,0,1,0,1,1,Gd,3,Typ,1,Gd,Attchd,2004.0,RFn,2,420,TA,TA,Y,149,0,0,0,0,0,None,None,None,0,1,2008,WD,Normal,149000,11.91170829631447,1696,0,2.0,1,4,4,0,0,30,0.1910770617395223,0.3821541234790446,CollgCr
205,50,RM,50.0,3500,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,7,1947,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,312,Unf,0,408,720,GasA,TA,Y,SBrkr,720,564,0,1284,0,0,1,1,2,1,TA,5,Typ,0,None,Detchd,1948.0,Unf,1,240,TA,TA,Y,0,35,0,0,0,0,None,MnWw,None,0,4,2009,WD,Normal,110000,11.608244735642321,2004,35,1.5,1,62,59,0,1,35,0.3668571428571429,0.5725714285714286,OldTown
206,20,RL,99.0,11851,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5,1990,1990,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1424,1424,GasA,Ex,Y,SBrkr,1442,0,0,1442,0,0,2,0,3,1,TA,5,Typ,0,None,Attchd,1990.0,RFn,2,500,TA,TA,Y,0,34,0,508,0,0,None,None,None,0,5,2009,WD,Normal,180500,12.103491596905931,2866,542,2.0,1,19,19,0,0,35,0.12167749556999409,0.24183613197198547,Gilbert
207,20,RL,40.0,13673,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,5,5,1962,1962,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,CBlock,TA,TA,No,Unf,0,Unf,0,1140,1140,GasA,TA,Y,SBrkr,1696,0,0,1696,0,0,1,1,3,1,TA,8,Min2,1,TA,Attchd,1962.0,RFn,1,349,TA,TA,Y,0,30,0,0,0,0,None,None,None,0,3,2007,WD,Normal,143900,11.87688084212164,2836,30,1.5,1,45,45,0,0,25,0.12404007898778614,0.20741607547721788,Sawyer
208,20,RL,69.0,12493,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1960,1960,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,ALQ,419,Rec,306,375,1100,GasA,TA,Y,SBrkr,1100,0,0,1100,1,0,1,0,3,1,TA,6,Typ,1,Po,Attchd,1960.0,RFn,1,312,TA,TA,Y,355,0,0,0,0,0,None,GdWo,None,0,4,2008,WD,Normal,141000,11.856522261533737,2200,0,2.0,1,48,48,0,0,20,0.08804930761226287,0.17609861522452575,NAmes
209,60,RL,69.0,14364,Pave,None,IR1,Low,AllPub,Inside,Mod,SawyerW,Norm,Norm,1Fam,2Story,7,5,1988,1989,Gable,CompShg,Plywood,Plywood,BrkFace,128.0,Gd,TA,CBlock,Gd,TA,Gd,GLQ,1065,Unf,0,92,1157,GasA,Ex,Y,SBrkr,1180,882,0,2062,1,0,2,1,3,1,TA,7,Typ,1,Gd,Attchd,1988.0,Fin,2,454,TA,TA,Y,60,55,0,0,154,0,None,None,None,0,4,2007,WD,Normal,277000,12.531776395271262,3219,209,3.5,1,19,18,0,1,35,0.14355332776385407,0.22410192147034252,SawyerW
210,20,RL,75.0,8250,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1964,1964,Hip,CompShg,HdBoard,HdBoard,Stone,260.0,TA,TA,CBlock,Gd,TA,No,Rec,787,Unf,0,305,1092,GasA,Ex,Y,SBrkr,1092,0,0,1092,1,0,1,0,3,1,TA,6,Typ,0,None,Attchd,1964.0,RFn,2,504,TA,Gd,Y,0,0,0,0,0,0,None,MnPrv,None,0,7,2008,WD,Normal,145000,11.884495917930655,2184,0,2.0,1,44,44,0,0,42,0.13236363636363635,0.2647272727272727,NAmes
211,30,RL,67.0,5604,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,1925,1950,Gable,CompShg,Stucco,Stucco,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,468,Unf,0,396,864,GasA,TA,N,FuseA,864,0,0,864,1,0,1,0,2,1,TA,5,Typ,0,None,None,1925.0,None,0,0,None,None,Y,0,0,96,0,0,0,None,None,None,0,4,2008,WD,Normal,98000,11.49273296168228,1728,96,2.0,1,83,58,0,1,30,0.15417558886509636,0.3083511777301927,Edwards
212,20,RL,83.0,10420,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,6,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Mn,GLQ,36,Unf,0,1176,1212,GasA,Ex,Y,SBrkr,1212,0,0,1212,0,0,2,0,3,1,Gd,6,Typ,0,None,Attchd,2009.0,RFn,2,460,TA,TA,Y,100,22,0,0,0,0,None,None,None,0,3,2010,WD,Normal,186000,12.133507329024972,2424,22,2.0,1,1,1,0,0,30,0.1163147792706334,0.2326295585412668,Edwards
213,60,FV,72.0,8640,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,822,Unf,0,78,900,GasA,Ex,Y,SBrkr,932,920,0,1852,1,0,2,1,3,1,Gd,7,Typ,1,TA,Attchd,2009.0,RFn,2,644,TA,TA,Y,168,108,0,0,0,0,None,None,None,0,7,2009,New,Partial,252678,12.439875187430008,2752,108,3.5,1,0,0,1,0,35,0.21435185185185185,0.31851851851851853,Somerst
214,20,RL,43.0,13568,Pave,None,IR2,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1995,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,ALQ,716,Unf,0,274,990,GasA,Ex,Y,SBrkr,990,0,0,990,0,1,1,0,3,1,TA,5,Typ,0,None,Attchd,1996.0,Unf,2,576,TA,TA,Y,224,0,0,0,0,0,None,None,None,0,7,2006,WD,Normal,156000,11.957617696467539,1980,0,1.5,1,11,11,0,0,25,0.07296580188679246,0.1459316037735849,CollgCr
215,60,RL,69.0,10900,Pave,None,IR1,Lvl,AllPub,FR2,Gtl,CollgCr,Norm,Norm,1Fam,2Story,6,7,1977,1977,Gable,CompShg,HdBoard,HdBoard,BrkFace,153.0,TA,TA,CBlock,Gd,TA,No,GLQ,378,Unf,0,311,689,GasA,Ex,Y,SBrkr,689,703,0,1392,0,0,1,1,3,1,TA,6,Typ,0,None,Attchd,1977.0,Fin,1,299,TA,TA,Y,0,36,0,0,0,0,None,MnPrv,Shed,450,3,2010,WD,Normal,161750,11.993813394724253,2081,36,1.5,1,33,33,0,0,42,0.12770642201834861,0.19091743119266055,CollgCr
216,20,RL,72.0,10011,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1996,Gable,CompShg,HdBoard,HdBoard,BrkFace,64.0,TA,TA,CBlock,TA,TA,No,BLQ,360,Unf,0,710,1070,GasA,TA,Y,SBrkr,1236,0,0,1236,0,1,1,0,2,1,Gd,6,Min1,1,Fa,Attchd,1957.0,Unf,1,447,TA,TA,Y,0,0,0,0,0,0,None,MnPrv,None,0,5,2006,WD,Normal,134450,11.808955099378537,2306,0,1.5,1,49,10,0,1,30,0.12346418939166916,0.23034661871940865,NAmes
217,20,RL,65.0,8450,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,266.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,946,Unf,0,490,1436,GasA,Ex,Y,SBrkr,1436,0,0,1436,1,0,2,0,3,1,Gd,8,Typ,0,None,Attchd,2004.0,Unf,2,484,TA,TA,Y,139,98,0,0,0,0,None,None,None,0,4,2008,WD,Normal,210000,12.25486757159303,2872,98,3.0,1,4,4,0,0,35,0.16994082840236685,0.3398816568047337,CollgCr
218,70,RM,57.0,9906,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,4,4,1925,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,686,686,GasA,Fa,N,SBrkr,810,518,0,1328,0,0,1,0,3,1,TA,8,Typ,0,None,Detchd,1940.0,Unf,1,210,TA,TA,Y,0,172,60,0,0,0,None,None,None,0,9,2006,WD,Family,107000,11.580593459194764,2014,232,1.0,1,81,56,0,1,16,0.13406016555622854,0.2033111245709671,OldTown
219,50,RL,69.0,15660,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,1.5Fin,7,9,1939,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,312.0,Gd,Gd,CBlock,TA,TA,No,BLQ,341,Unf,0,457,798,GasA,Ex,Y,SBrkr,1137,817,0,1954,0,1,1,1,3,1,Gd,8,Typ,2,TA,Attchd,1939.0,Unf,2,431,TA,TA,Y,0,119,150,0,0,0,None,None,None,0,5,2008,WD,Normal,311500,12.649157827477366,2752,269,2.0,1,69,2,0,1,63,0.1247765006385696,0.17573435504469986,Other
220,120,RL,43.0,3010,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,16.0,Gd,TA,PConc,Gd,TA,Av,GLQ,16,Unf,0,1232,1248,GasA,Ex,Y,SBrkr,1248,0,0,1248,0,0,2,0,2,1,Gd,5,Typ,0,None,Attchd,2005.0,Fin,2,438,TA,TA,Y,108,0,0,0,0,0,None,None,None,0,3,2006,New,Partial,167240,12.027191164883384,2496,0,2.0,1,1,0,0,1,35,0.41461794019933557,0.8292358803986711,Other
221,20,RL,73.0,8990,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Mn,Unf,0,Unf,0,1498,1498,GasA,Ex,Y,SBrkr,1498,0,0,1498,0,0,2,0,2,1,Gd,5,Typ,0,None,Attchd,2006.0,RFn,2,675,TA,TA,Y,351,33,0,0,0,0,None,None,None,0,4,2006,New,Partial,204900,12.230282214644559,2996,33,2.0,1,0,0,1,0,35,0.16662958843159065,0.3332591768631813,CollgCr
222,60,RL,69.0,8068,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1010,1010,GasA,Ex,Y,SBrkr,1010,1257,0,2267,0,0,2,1,4,1,Gd,8,Typ,1,TA,BuiltIn,2002.0,RFn,2,390,TA,TA,Y,120,46,0,0,0,0,None,None,None,0,12,2009,ConLI,Normal,200000,12.206077645517674,3277,46,2.5,1,7,7,0,0,30,0.2809866137828458,0.4061725334655429,Gilbert
223,60,RL,85.0,11475,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,RRAn,Norm,1Fam,2Story,6,6,1975,1975,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,No,ALQ,550,Unf,0,163,713,GasA,TA,Y,SBrkr,811,741,0,1552,1,0,2,1,3,1,TA,6,Typ,1,TA,Attchd,1975.0,RFn,2,434,TA,TA,Y,209,208,0,0,0,0,None,MnPrv,None,0,2,2006,WD,Normal,179900,12.100161978566867,2265,208,3.5,1,31,31,0,0,36,0.13525054466230937,0.19738562091503267,NWAmes
224,20,RL,70.0,10500,Pave,None,Reg,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,6,1971,1971,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,524,LwQ,180,160,864,GasA,Gd,Y,SBrkr,864,0,0,864,0,0,1,0,2,1,TA,4,Typ,0,None,Detchd,1989.0,Unf,2,576,TA,TA,Y,216,0,0,0,0,0,None,None,None,0,3,2009,WD,Abnorml,97000,11.48247656671073,1728,0,1.0,1,38,38,0,0,24,0.08228571428571428,0.16457142857142856,NAmes
225,20,RL,103.0,13472,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,2003,2003,Hip,CompShg,VinylSd,VinylSd,BrkFace,922.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,56,Unf,0,2336,2392,GasA,Ex,Y,SBrkr,2392,0,0,2392,0,0,2,0,3,1,Ex,8,Typ,1,Ex,Attchd,2003.0,Fin,3,968,TA,TA,Y,248,105,0,0,0,0,None,None,None,0,6,2009,WD,Normal,386250,12.864242696187505,4784,105,2.0,1,6,6,0,0,50,0.17755344418052257,0.35510688836104515,NridgHt
226,160,RM,21.0,1680,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,142.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,630,630,GasA,TA,Y,SBrkr,630,672,0,1302,0,0,2,1,3,1,TA,6,Typ,0,None,Detchd,1991.0,Unf,1,280,TA,TA,Y,0,0,0,0,0,0,None,None,None,0,5,2009,COD,Abnorml,112000,11.626263078808801,1932,0,2.5,1,38,38,0,0,25,0.775,1.15,Other
